dataset,nodes,k,seed_id,algorithm,seed_median_s,seed_iqr_s,n_repeats
digits_n1500,1500,10,4,dijkstra,0.5330096715,0.014887628249999896,6
digits_n1500,1500,10,4,floyd_warshall,3.497452322,0.053970712250000386,6
digits_n1500,1500,10,4,johnson,0.621445137,0.03559944725000008,6
digits_n1500,1500,20,0,dijkstra,0.7648409195,0.057107225750000046,6
digits_n1500,1500,20,0,floyd_warshall,4.225483456,0.2744509130000008,6
digits_n1500,1500,20,0,johnson,0.9410722325,0.0711249932500001,6
digits_n1500,1500,20,1,dijkstra,0.760565382,0.034547520499999984,6
digits_n1500,1500,20,1,floyd_warshall,3.9387502645000003,0.08368679325000006,6
digits_n1500,1500,20,1,johnson,0.953714899,0.06267445825000006,6
digits_n1500,1500,20,2,dijkstra,0.778969551,0.01946444224999999,6
digits_n1500,1500,20,2,floyd_warshall,4.018868739,0.025736273250000608,6
digits_n1500,1500,20,2,johnson,0.947303539,0.007045667500000019,6
digits_n1500,1500,20,3,dijkstra,0.7933131250000001,0.01937460474999997,6
digits_n1500,1500,20,3,floyd_warshall,4.073560776,0.043363041750000164,6
digits_n1500,1500,20,3,johnson,0.952677209,0.022702771249999976,6
digits_n1500,1500,20,4,dijkstra,0.757783769,0.03482660325000009,6
digits_n1500,1500,20,4,floyd_warshall,4.1710970525,0.015716763500000397,6
digits_n1500,1500,20,4,johnson,0.9459644945,0.01951934175000014,6
digits_n1797,1797,5,0,dijkstra,0.558480313,0.02741319200000003,30
digits_n1797,1797,5,0,floyd_warshall,4.945970437,0.10931058950000061,30
digits_n1797,1797,5,0,johnson,0.635515227,0.024026467999999968,30
digits_n1797,1797,10,0,dijkstra,0.769598043,0.041988642249999986,30
digits_n1797,1797,10,0,floyd_warshall,6.0646605430000005,0.12926002925000013,30
digits_n1797,1797,10,0,johnson,0.9095373285,0.0798228875,30
digits_n1797,1797,20,0,dijkstra,1.1586934974999998,0.06220390649999996,30
digits_n1797,1797,20,0,floyd_warshall,7.065458592000001,0.20594142950000016,30
digits_n1797,1797,20,0,johnson,1.4760859545,0.1105551477500002,30
digits_n200,200,5,0,dijkstra,0.0066543711875,0.00012263521875000016,6
digits_n200,200,5,0,floyd_warshall,0.007682939999999999,0.00022399975000000037,6
digits_n200,200,5,0,johnson,0.00811696875,7.74876250000233e-05,6
digits_n200,200,5,1,dijkstra,0.006596267562500001,0.0003218739687499998,6
digits_n200,200,5,1,floyd_warshall,0.008042388357142851,0.00039654875000004995,6
digits_n200,200,5,1,johnson,0.0079189743571428,0.000225675642857125,6
digits_n200,200,5,2,dijkstra,0.0064854174375,0.00016275321874999974,6
